ï»¿Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
GINI index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..
GINI index (World Bank estimate),SI.POV.GINI,Albania,ALB,..
GINI index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..
GINI index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..
GINI index (World Bank estimate),SI.POV.GINI,Andorra,ADO,..
GINI index (World Bank estimate),SI.POV.GINI,Angola,AGO,..
GINI index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..
GINI index (World Bank estimate),SI.POV.GINI,Argentina,ARG,44.5
GINI index (World Bank estimate),SI.POV.GINI,Armenia,ARM,31.07
GINI index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..
GINI index (World Bank estimate),SI.POV.GINI,Australia,AUS,34.94
GINI index (World Bank estimate),SI.POV.GINI,Austria,AUT,30.25
GINI index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..
GINI index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..
GINI index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,31.98
GINI index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..
GINI index (World Bank estimate),SI.POV.GINI,Belarus,BLR,27.72
GINI index (World Bank estimate),SI.POV.GINI,Belgium,BEL,28.53
GINI index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..
GINI index (World Bank estimate),SI.POV.GINI,Benin,BEN,..
GINI index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..
GINI index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..
GINI index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,..
GINI index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..
GINI index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..
GINI index (World Bank estimate),SI.POV.GINI,Brazil,BRA,..
GINI index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..
GINI index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,35.65
GINI index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..
GINI index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..
GINI index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..
GINI index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,33.44
GINI index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..
GINI index (World Bank estimate),SI.POV.GINI,Canada,CAN,33.68
GINI index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..
GINI index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..
GINI index (World Bank estimate),SI.POV.GINI,Chad,TCD,..
GINI index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..
GINI index (World Bank estimate),SI.POV.GINI,Chile,CHL,..
GINI index (World Bank estimate),SI.POV.GINI,China,CHN,42.06
GINI index (World Bank estimate),SI.POV.GINI,Colombia,COL,55.5
GINI index (World Bank estimate),SI.POV.GINI,Comoros,COM,..
GINI index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,48.1
GINI index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..
GINI index (World Bank estimate),SI.POV.GINI,Croatia,HRV,27.35
GINI index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..
GINI index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..
GINI index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,31.46
GINI index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,26.63
GINI index (World Bank estimate),SI.POV.GINI,Denmark,DNK,29.02
GINI index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,..
GINI index (World Bank estimate),SI.POV.GINI,Dominica,DMA,..
GINI index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,47.2
GINI index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,49.25
GINI index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,44.53
GINI index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,..
GINI index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,..
GINI index (World Bank estimate),SI.POV.GINI,Estonia,EST,32.16
GINI index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,33.17
GINI index (World Bank estimate),SI.POV.GINI,Faeroe Islands,FRO,..
GINI index (World Bank estimate),SI.POV.GINI,Fiji,FJI,..
GINI index (World Bank estimate),SI.POV.GINI,Finland,FIN,27.74
GINI index (World Bank estimate),SI.POV.GINI,France,FRA,33.78
GINI index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,..
GINI index (World Bank estimate),SI.POV.GINI,Gabon,GAB,..
GINI index (World Bank estimate),SI.POV.GINI,Georgia,GEO,42.13
GINI index (World Bank estimate),SI.POV.GINI,Germany,DEU,31.14
GINI index (World Bank estimate),SI.POV.GINI,Ghana,GHA,..
GINI index (World Bank estimate),SI.POV.GINI,Greece,GRC,34.48
GINI index (World Bank estimate),SI.POV.GINI,Greenland,GRL,..
GINI index (World Bank estimate),SI.POV.GINI,Grenada,GRD,..
GINI index (World Bank estimate),SI.POV.GINI,Guam,GUM,..
GINI index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea,GIN,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,50.66
GINI index (World Bank estimate),SI.POV.GINI,Guyana,GUY,..
GINI index (World Bank estimate),SI.POV.GINI,Haiti,HTI,..
GINI index (World Bank estimate),SI.POV.GINI,Honduras,HND,53.39
GINI index (World Bank estimate),SI.POV.GINI,Hungary,HUN,29.37
GINI index (World Bank estimate),SI.POV.GINI,Iceland,ISL,26.43
GINI index (World Bank estimate),SI.POV.GINI,India,IND,..
GINI index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,35.57
GINI index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,..
GINI index (World Bank estimate),SI.POV.GINI,Ireland,IRL,32.3
GINI index (World Bank estimate),SI.POV.GINI,Isle of Man,IMY,..
GINI index (World Bank estimate),SI.POV.GINI,Israel,ISR,42.78
GINI index (World Bank estimate),SI.POV.GINI,Italy,ITA,34.41
GINI index (World Bank estimate),SI.POV.GINI,Jamaica,JAM,..
GINI index (World Bank estimate),SI.POV.GINI,Japan,JPN,..
GINI index (World Bank estimate),SI.POV.GINI,Jordan,JOR,33.66
GINI index (World Bank estimate),SI.POV.GINI,Kazakhstan,KAZ,28.56
GINI index (World Bank estimate),SI.POV.GINI,Kenya,KEN,..
GINI index (World Bank estimate),SI.POV.GINI,Kiribati,KIR,..
GINI index (World Bank estimate),SI.POV.GINI,Kosovo,KSV,33.25
GINI index (World Bank estimate),SI.POV.GINI,Kuwait,KWT,..
GINI index (World Bank estimate),SI.POV.GINI,Kyrgyz Republic,KGZ,29.89
GINI index (World Bank estimate),SI.POV.GINI,Lao PDR,LAO,..
GINI index (World Bank estimate),SI.POV.GINI,Latvia,LVA,35.27
GINI index (World Bank estimate),SI.POV.GINI,Lebanon,LBN,..
GINI index (World Bank estimate),SI.POV.GINI,Lesotho,LSO,54.18
GINI index (World Bank estimate),SI.POV.GINI,Liberia,LBR,..
GINI index (World Bank estimate),SI.POV.GINI,Libya,LBY,..
GINI index (World Bank estimate),SI.POV.GINI,Liechtenstein,LIE,..
GINI index (World Bank estimate),SI.POV.GINI,Lithuania,LTU,33.76
GINI index (World Bank estimate),SI.POV.GINI,Luxembourg,LUX,30.9
GINI index (World Bank estimate),SI.POV.GINI,Madagascar,MDG,40.63
GINI index (World Bank estimate),SI.POV.GINI,Malawi,MWI,46.12
GINI index (World Bank estimate),SI.POV.GINI,Malaysia,MYS,..
GINI index (World Bank estimate),SI.POV.GINI,Maldives,MDV,..
GINI index (World Bank estimate),SI.POV.GINI,Mali,MLI,..
GINI index (World Bank estimate),SI.POV.GINI,Malta,MLT,..
GINI index (World Bank estimate),SI.POV.GINI,Marshall Islands,MHL,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritania,MRT,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritius,MUS,..
GINI index (World Bank estimate),SI.POV.GINI,Mexico,MEX,48.13
GINI index (World Bank estimate),SI.POV.GINI,Moldova,MDA,32.05
GINI index (World Bank estimate),SI.POV.GINI,Monaco,MCO,..
GINI index (World Bank estimate),SI.POV.GINI,Mongolia,MNG,33.08
GINI index (World Bank estimate),SI.POV.GINI,Montenegro,MNE,28.6
GINI index (World Bank estimate),SI.POV.GINI,Morocco,MAR,..
GINI index (World Bank estimate),SI.POV.GINI,Mozambique,MOZ,..
GINI index (World Bank estimate),SI.POV.GINI,Myanmar,MMR,..
GINI index (World Bank estimate),SI.POV.GINI,Namibia,NAM,..
GINI index (World Bank estimate),SI.POV.GINI,Nepal,NPL,32.75
GINI index (World Bank estimate),SI.POV.GINI,Netherlands,NLD,28.73
GINI index (World Bank estimate),SI.POV.GINI,New Caledonia,NCL,..
GINI index (World Bank estimate),SI.POV.GINI,New Zealand,NZL,..
GINI index (World Bank estimate),SI.POV.GINI,Nicaragua,NIC,..
GINI index (World Bank estimate),SI.POV.GINI,Niger,NER,..
GINI index (World Bank estimate),SI.POV.GINI,Nigeria,NGA,..
GINI index (World Bank estimate),SI.POV.GINI,Northern Mariana Islands,MNP,..
GINI index (World Bank estimate),SI.POV.GINI,Norway,NOR,25.86
GINI index (World Bank estimate),SI.POV.GINI,Oman,OMN,..
GINI index (World Bank estimate),SI.POV.GINI,Pakistan,PAK,29.59
GINI index (World Bank estimate),SI.POV.GINI,Palau,PLW,..
GINI index (World Bank estimate),SI.POV.GINI,Panama,PAN,51.91
GINI index (World Bank estimate),SI.POV.GINI,Papua New Guinea,PNG,..
GINI index (World Bank estimate),SI.POV.GINI,Paraguay,PRY,51.83
GINI index (World Bank estimate),SI.POV.GINI,Peru,PER,46.21
GINI index (World Bank estimate),SI.POV.GINI,Philippines,PHL,..
GINI index (World Bank estimate),SI.POV.GINI,Poland,POL,33.22
GINI index (World Bank estimate),SI.POV.GINI,Portugal,PRT,35.84
GINI index (World Bank estimate),SI.POV.GINI,Puerto Rico,PRI,..
GINI index (World Bank estimate),SI.POV.GINI,Qatar,QAT,..
GINI index (World Bank estimate),SI.POV.GINI,Romania,ROM,28.16
GINI index (World Bank estimate),SI.POV.GINI,Russian Federation,RUS,40.94
GINI index (World Bank estimate),SI.POV.GINI,Rwanda,RWA,51.34
GINI index (World Bank estimate),SI.POV.GINI,Samoa,WSM,..
GINI index (World Bank estimate),SI.POV.GINI,San Marino,SMR,..
GINI index (World Bank estimate),SI.POV.GINI,Sao Tome and Principe,STP,30.82
GINI index (World Bank estimate),SI.POV.GINI,Saudi Arabia,SAU,..
GINI index (World Bank estimate),SI.POV.GINI,Senegal,SEN,..
GINI index (World Bank estimate),SI.POV.GINI,Serbia,SRB,29.65
GINI index (World Bank estimate),SI.POV.GINI,Seychelles,SYC,..
GINI index (World Bank estimate),SI.POV.GINI,Sierra Leone,SLE,..
GINI index (World Bank estimate),SI.POV.GINI,Singapore,SGP,..
GINI index (World Bank estimate),SI.POV.GINI,Sint Maarten (Dutch part),SXM,..
GINI index (World Bank estimate),SI.POV.GINI,Slovak Republic,SVK,27.32
GINI index (World Bank estimate),SI.POV.GINI,Slovenia,SVN,24.94
GINI index (World Bank estimate),SI.POV.GINI,Solomon Islands,SLB,..
GINI index (World Bank estimate),SI.POV.GINI,Somalia,SOM,..
GINI index (World Bank estimate),SI.POV.GINI,South Africa,ZAF,..
GINI index (World Bank estimate),SI.POV.GINI,South Sudan,SSD,..
GINI index (World Bank estimate),SI.POV.GINI,Spain,ESP,35.79
GINI index (World Bank estimate),SI.POV.GINI,Sri Lanka,LKA,..
GINI index (World Bank estimate),SI.POV.GINI,St. Kitts and Nevis,KNA,..
GINI index (World Bank estimate),SI.POV.GINI,St. Lucia,LCA,..
GINI index (World Bank estimate),SI.POV.GINI,St. Martin (French part),MAF,..
GINI index (World Bank estimate),SI.POV.GINI,St. Vincent and the Grenadines,VCT,..
GINI index (World Bank estimate),SI.POV.GINI,Sudan,SDN,..
GINI index (World Bank estimate),SI.POV.GINI,Suriname,SUR,..
GINI index (World Bank estimate),SI.POV.GINI,Swaziland,SWZ,..
GINI index (World Bank estimate),SI.POV.GINI,Sweden,SWE,26.81
GINI index (World Bank estimate),SI.POV.GINI,Switzerland,CHE,32.72
GINI index (World Bank estimate),SI.POV.GINI,Syrian Arab Republic,SYR,..
GINI index (World Bank estimate),SI.POV.GINI,Tajikistan,TJK,..
GINI index (World Bank estimate),SI.POV.GINI,Tanzania,TZA,..
GINI index (World Bank estimate),SI.POV.GINI,Thailand,THA,39.4
GINI index (World Bank estimate),SI.POV.GINI,Timor-Leste,TMP,..
GINI index (World Bank estimate),SI.POV.GINI,Togo,TGO,..
GINI index (World Bank estimate),SI.POV.GINI,Tonga,TON,..
GINI index (World Bank estimate),SI.POV.GINI,Trinidad and Tobago,TTO,..
GINI index (World Bank estimate),SI.POV.GINI,Tunisia,TUN,35.81
GINI index (World Bank estimate),SI.POV.GINI,Turkey,TUR,38.78
GINI index (World Bank estimate),SI.POV.GINI,Turkmenistan,TKM,..
GINI index (World Bank estimate),SI.POV.GINI,Turks and Caicos Islands,TCA,..
GINI index (World Bank estimate),SI.POV.GINI,Tuvalu,TUV,..
GINI index (World Bank estimate),SI.POV.GINI,Uganda,UGA,..
GINI index (World Bank estimate),SI.POV.GINI,Ukraine,UKR,24.82
GINI index (World Bank estimate),SI.POV.GINI,United Arab Emirates,ARE,..
GINI index (World Bank estimate),SI.POV.GINI,United Kingdom,GBR,34.81
GINI index (World Bank estimate),SI.POV.GINI,United States,USA,40.46
GINI index (World Bank estimate),SI.POV.GINI,Uruguay,URY,45.32
GINI index (World Bank estimate),SI.POV.GINI,Uzbekistan,UZB,..
GINI index (World Bank estimate),SI.POV.GINI,Vanuatu,VUT,37.18
GINI index (World Bank estimate),SI.POV.GINI,Vietnam,VNM,42.68
GINI index (World Bank estimate),SI.POV.GINI,Virgin Islands (U.S.),VIR,..
GINI index (World Bank estimate),SI.POV.GINI,West Bank and Gaza,WBG,..
GINI index (World Bank estimate),SI.POV.GINI,Zambia,ZMB,55.62
GINI index (World Bank estimate),SI.POV.GINI,Zimbabwe,ZWE,..
